央视频道,#genre#
睛彩竞技,http://114.241.218.114:4022/rtp/239.3.1.125:8001
睛彩篮球,http://114.241.218.114:4022/rtp/239.3.1.126:8001
睛彩青少,http://183.220.107.138:4022/rtp/239.10.0.130:5140
睛彩广场舞,http://114.241.218.114:4022/rtp/239.3.1.128:8001
重温经典,http://115.171.216.75:4000/rtp/225.1.8.39:8002
求索纪录,http://183.220.107.138:4022/rtp/239.10.0.221:5140
都市剧场,http://117.86.51.74:8888/rtp/239.49.0.99:8000
生活时尚,http://117.86.51.74:8888/rtp/239.49.0.97:8000
魅力足球,http://111.162.205.105:8686/rtp/225.1.1.137:5002
茶频道,http://111.162.205.105:8686/rtp/225.1.2.19:5002
快乐垂钓,http://183.220.107.138:4022/rtp/239.10.0.128:5140
iHOT爱喜剧,http://171.213.148.77:8188/udp/239.93.42.9:5140
iHOT爱奇谈,http://171.213.148.77:8188/udp/239.93.42.22:5140
iHOT爱科幻,http://171.213.148.77:8188/udp/239.93.42.10:5140
iHOT爱院线,http://171.213.148.77:8188/udp/239.93.42.11:5140
iHOT爱谍战,http://171.213.148.77:8188/udp/239.93.42.14:5140
iHOT爱悬疑,http://171.213.148.77:8188/udp/239.93.42.12:5140
iHOT爱都市,http://171.213.148.77:8188/udp/239.93.42.15:5140
iHOT爱幼教,http://171.213.148.77:8188/udp/239.93.42.17:5140
iHOT爱玩具,http://171.213.148.77:8188/udp/239.93.42.18:5140
iHOT爱动漫,http://171.213.148.77:8188/udp/239.93.42.23:5140
iHOT爱赛车,http://171.213.148.77:8188/udp/239.93.42.20:5140

地方频道,#genre#
北京新闻,http://114.241.218.114:4022/rtp/239.3.1.159:8000
北京文艺,http://114.241.218.114:4022/rtp/239.3.1.242:8000
北京影视,http://114.241.218.114:4022/rtp/239.3.1.158:8000
北京财经,http://114.241.218.114:4022/rtp/239.3.1.116:8000
北京体育休闲,http://114.241.218.114:4022/rtp/239.3.1.243:8000
北京生活,http://114.241.218.114:4022/rtp/239.3.1.117:8000
卡酷少儿,http://114.241.218.114:4022/rtp/239.3.1.189:8000
东方财经,http://117.86.51.74:8888/rtp/239.49.0.95:8000
欢笑剧场4K,http://36.24.66.203:8888/udp/233.50.200.52:5140
法治天地,http://117.86.51.74:8888/rtp/239.49.0.96:8000
哈哈炫动,http://111.162.205.105:8686/rtp/225.1.1.62:5002
江苏新闻,http://117.86.51.74:8888/rtp/239.49.8.120:8000
江苏影视,http://117.86.51.74:8888/rtp/239.49.8.118:8000
江苏综艺,http://117.86.51.74:8888/rtp/239.49.8.108:8000
江苏城市,http://117.86.51.74:8888/rtp/239.49.8.107:8000
江苏国际,http://117.86.51.74:8888/rtp/239.49.0.22:8168
江苏体育休闲,http://117.86.51.74:8888/rtp/239.49.8.117:8000
江苏教育,http://117.86.51.74:8888/rtp/239.49.8.122:8000
南京新闻,http://117.86.51.74:8888/rtp/239.49.0.25:8192
南京教科,http://117.86.51.74:8888/rtp/239.49.0.183:9434
南京少儿,http://117.86.51.74:8888/rtp/239.49.0.45:8000
南京影视,http://117.86.51.74:8888/rtp/239.49.0.24:8000
淮安新闻综合,http://117.86.51.74:8888/rtp/239.49.0.204:8000
淮安公共,http://117.86.51.74:8888/rtp/239.49.0.181:8000
淮安影视娱乐,http://117.86.51.74:8888/rtp/239.49.0.192:8000
淮安淮阴综合,http://117.86.51.74:8888/rtp/239.49.0.169:8000
淮安盱眙综合,http://117.86.51.74:8888/rtp/239.49.0.237:8000
徐州1,http://117.86.51.74:8888/rtp/239.49.0.203:8000
徐州2,http://117.86.51.74:8888/rtp/239.49.0.199:8000
徐州3,http://117.86.51.74:8888/rtp/239.49.0.211:8000
徐州4,http://117.86.51.74:8888/rtp/239.49.0.216:8000
盐城1,http://117.86.51.74:8888/rtp/239.49.8.30:8000
盐城2,http://117.86.51.74:8888/rtp/239.49.0.88:8000
盐城3,http://117.86.51.74:8888/rtp/239.49.0.91:8000
泰州1,http://117.86.51.74:8888/rtp/239.49.0.215:8000
泰州2,http://117.86.51.74:8888/rtp/239.49.0.217:8000
泰州3,http://117.86.51.74:8888/rtp/239.49.0.222:8000
